,Unnamed: 0,country,year,limit,unique_sample_count,success,obligaotry_samples,voluntary_samples,obligatory_success
0,0.0,AT,2012,12,15.0,True,15,0,True
1,1.0,AT,2015,12,99.0,True,15,84,True
2,2.0,BE,2012,12,39.0,True,14,25,True
3,3.0,BE,2015,12,15.0,True,15,0,True
4,4.0,BG,2012,12,13.0,True,13,13,True
5,5.0,BG,2015,12,0.0,False,0,0,False
6,6.0,HR,2015,12,26.0,True,26,26,True
7,7.0,CY,2012,12,15.0,True,15,0,True
8,8.0,CY,2015,12,15.0,True,15,0,True
9,9.0,CZ,2012,12,18.0,True,18,18,True
10,10.0,CZ,2015,12,20.0,True,20,20,True
11,11.0,DK,2012,12,14.0,True,8,14,False
12,12.0,DK,2015,12,6.0,False,6,6,False
13,13.0,EE,2012,12,15.0,True,15,15,True
14,14.0,EE,2015,12,15.0,True,15,15,True
15,15.0,FI,2012,12,18.0,True,18,0,True
16,16.0,FI,2015,12,8.0,False,8,0,False
17,17.0,FR,2012,66,60.0,False,60,0,False
18,18.0,FR,2015,66,0.0,False,0,0,False
19,19.0,DE,2012,93,270.0,True,110,160,True
20,20.0,DE,2015,93,202.0,True,113,89,True
21,21.0,GR,2012,12,15.0,True,15,15,True
22,22.0,GR,2015,12,13.0,True,13,13,True
23,23.0,HU,2012,12,9.0,False,9,1,False
24,24.0,HU,2015,12,15.0,True,15,15,True
25,25.0,IE,2012,12,15.0,True,15,15,True
26,26.0,IE,2015,12,15.0,True,15,0,True
27,27.0,IT,2012,65,30.0,False,13,17,False
28,28.0,IT,2015,65,146.0,True,51,102,False
29,29.0,LV,2012,12,15.0,True,15,0,True
30,30.0,LV,2015,12,15.0,True,15,0,True
31,31.0,LT,2012,12,15.0,True,15,15,True
32,32.0,LT,2015,12,14.0,True,14,0,True
33,33.0,LU,2012,12,0.0,False,0,0,False
34,34.0,LU,2015,12,0.0,False,0,0,False
35,35.0,MT,2012,12,15.0,True,15,15,True
36,36.0,MT,2015,12,4.0,False,4,4,False
37,37.0,NL,2012,17,21.0,True,21,21,True
38,38.0,NL,2015,17,23.0,True,23,23,True
39,39.0,PL,2012,45,89.0,True,88,89,True
40,40.0,PL,2015,45,45.0,True,45,45,True
41,41.0,PT,2012,12,0.0,False,0,0,False
42,42.0,PT,2015,12,0.0,False,0,0,False
43,43.0,RO,2012,17,16.0,False,16,16,False
44,44.0,RO,2015,17,0.0,False,0,0,False
45,45.0,SK,2012,12,15.0,True,15,0,True
46,46.0,SK,2015,12,15.0,True,15,0,True
47,47.0,SI,2012,12,15.0,True,15,15,True
48,48.0,SI,2015,12,15.0,True,15,15,True
49,49.0,ES,2012,45,21.0,False,21,3,False
50,50.0,ES,2015,45,72.0,True,72,10,True
51,51.0,SE,2012,12,30.0,True,30,0,True
52,52.0,SE,2015,12,30.0,True,30,0,True
53,53.0,GB,2012,66,92.0,True,92,92,True
54,54.0,GB,2015,66,187.0,True,107,187,True
55,55.0,NO,2012,0,15.0,True,15,0,True
56,56.0,NO,2015,0,15.0,True,15,0,True
57,57.0,IS,2012,0,0.0,True,0,0,True
58,58.0,IS,2015,0,0.0,True,0,0,True
59,59.0,BA,2012,0,0.0,True,0,0,True
60,60.0,BA,2015,0,0.0,True,0,0,True
61,61.0,MK,2012,0,0.0,True,0,0,True
62,62.0,MK,2015,0,0.0,True,0,0,True
63,63.0,MN,2012,0,0.0,True,0,0,True
64,64.0,MN,2015,0,0.0,True,0,0,True
65,,AT,2009,12,14.0,True,14,0,True
66,,BE,2009,12,15.0,True,15,0,True
67,,BG,2009,12,0.0,False,0,0,False
68,,CY,2009,12,4.0,False,4,0,False
69,,CZ,2009,12,15.0,True,15,0,True
70,,DK,2009,12,0.0,False,0,0,False
71,,EE,2009,12,15.0,True,15,0,True
72,,FI,2009,12,0.0,False,0,0,False
73,,FR,2009,66,0.0,False,0,0,False
74,,DE,2009,93,68.0,False,68,0,False
75,,GR,2009,12,16.0,True,16,0,True
76,,HU,2009,12,0.0,False,0,0,False
77,,IS,2009,0,0.0,True,0,0,True
78,,IE,2009,12,15.0,True,15,0,True
79,,IT,2009,65,5.0,False,5,0,False
80,,LV,2009,12,14.0,True,14,0,True
81,,LT,2009,12,16.0,True,16,0,True
82,,LU,2009,12,0.0,False,0,0,False
83,,MT,2009,12,15.0,True,15,0,True
84,,NL,2009,17,24.0,True,24,0,True
85,,NO,2009,0,0.0,True,0,0,True
86,,PL,2009,45,50.0,True,50,0,True
87,,PT,2009,12,0.0,False,0,0,False
88,,RO,2009,17,0.0,False,0,0,False
89,,SK,2009,12,15.0,True,15,0,True
90,,SI,2009,12,15.0,True,15,0,True
91,,ES,2009,45,21.0,False,21,0,False
92,,SE,2009,12,27.0,True,27,0,True
93,,GB,2009,66,109.0,True,109,0,True
