,year,sampCountry,unique_sample_with_pesticides_count,obligatory_unique_sample_with_pesticides_count,voluntary_unique_sample_with_pesticides_count
0,2011,DE,39,0,39
1,2011,BE,15,0,15
2,2011,CZ,15,0,15
3,2012,DE,100,55,45
4,2012,CZ,18,18,0
5,2012,SK,12,12,0
6,2012,BG,11,11,0
7,2012,EE,8,8,0
8,2012,GB,8,8,0
9,2012,ES,3,3,0
10,2012,AT,2,2,0
11,2012,BE,2,0,2
12,2012,IE,1,1,0
13,2013,DE,59,0,59
14,2013,BE,11,0,11
15,2013,CZ,6,0,6
16,2013,SK,1,0,1
17,2014,DE,110,0,110
18,2014,GB,15,0,15
19,2014,CZ,7,0,7
20,2014,BE,5,0,5
21,2014,AT,2,0,2
22,2014,IT,1,0,1
23,2015,DE,97,43,54
24,2015,GB,57,38,19
25,2015,CZ,18,18,0
26,2015,SK,12,12,0
27,2015,AT,9,0,9
28,2015,ES,6,6,0
29,2015,CY,3,3,0
30,2015,IE,2,2,0
31,2015,LT,2,2,0
32,2015,EE,1,1,0
33,2016,CZ,17,0,17
34,2016,DE,7,0,7
35,2016,IT,4,0,4
36,2017,CZ,15,0,15
37,2017,DE,9,0,9
38,2017,IT,6,0,6
39,2018,DE,37,0,37
40,2018,GB,17,0,17
41,2018,CZ,11,0,11
42,2018,IT,3,0,3
43,2019,CZ,12,0,12
44,2019,DE,8,0,8
45,2019,IT,3,0,3
46,2020,CZ,11,0,11
47,2020,IT,1,0,1
48,2021,DE,58,0,58
49,2021,CZ,9,0,9
50,2022,CZ,12,0,12
51,2022,DE,11,0,11
52,2022,IT,1,0,1
53,2023,DE,2,0,2
54,2023,IT,2,0,2
