,year,origCountry,positive_sample_count
3,2011,DE,23
2,2011,CZ,15
4,2011,IT,15
1,2011,BE,14
0,2011,AT,1
5,2011,NL,1
9,2012,DE,24
8,2012,CZ,18
15,2012,IT,16
7,2012,BG,11
18,2012,NZ,8
6,2012,BE,3
10,2012,EE,3
16,2012,LT,3
12,2012,FR,2
11,2012,FI,1
13,2012,GB,1
14,2012,IE,1
17,2012,LV,1
19,2012,XX,1
23,2013,DE,51
20,2013,BE,9
22,2013,CZ,7
27,2013,XX,4
25,2013,IT,2
26,2013,NL,2
21,2013,CH,1
24,2013,IE,1
32,2014,DE,89
36,2014,NL,15
34,2014,GB,13
31,2014,CZ,7
37,2014,XX,7
33,2014,DK,4
29,2014,AT,2
28,2014,AA,1
30,2014,CH,1
35,2014,IT,1
40,2015,DE,50
43,2015,GB,47
39,2015,CZ,19
38,2015,AT,10
42,2015,FR,7
44,2015,IE,2
45,2015,IT,2
41,2015,EE,1
46,2015,PL,1
47,2016,CZ,17
48,2016,DE,7
49,2016,IT,4
50,2017,CZ,15
51,2017,DE,9
52,2017,IT,6
54,2018,DE,34
55,2018,GB,17
53,2018,CZ,11
57,2018,IT,3
56,2018,IE,2
58,2018,XX,1
59,2019,CZ,12
60,2019,DE,7
61,2019,IT,4
62,2020,CZ,11
63,2020,IT,1
65,2021,DE,46
64,2021,CZ,9
67,2021,IE,7
69,2021,PL,2
66,2021,FR,1
68,2021,NL,1
70,2021,XX,1
72,2022,CZ,12
73,2022,DE,9
71,2022,BG,1
74,2022,IE,1
75,2022,IT,1
76,2023,DE,2
77,2023,IT,2
